Code,Name,Market,현금배당수익률(%)_당기,주당 현금배당금(원)
051380,피씨디렉트,KOSDAQ,2.24,100
073110,엘엠에스,KOSDAQ,2.24,200
067170,오텍,KOSDAQ,2.23,100
000640,동아쏘시오홀딩스,KOSPI,2.2,2200
064480,브리지텍,KOSDAQ,2.2,150
028670,팬오션,KOSPI,2.2,85
007210,벽산,KOSPI,2.2,60
393210,토마토시스템,KOSDAQ,2.2,90
003100,선광,KOSDAQ,2.2,400
012790,신일제약,KOSDAQ,2.2,170
048430,유라테크,KOSDAQ,2.2,190
024720,콜마홀딩스,KOSPI,2.2,180
006200,한국전자홀딩스,KOSPI,2.2,20
054800,아이디스홀딩스,KOSDAQ,2.2,250
031980,피에스케이홀딩스,KOSDAQ,2.2,600
002390,한독,KOSPI,2.2,300
031430,신세계인터내셔날,KOSPI,2.18,400
211050,인카금융서비스,KOSDAQ,2.16,350
006620,동구바이오제약,KOSDAQ,2.16,120
192440,슈피겐코리아,KOSDAQ,2.13,696
000150,두산,KOSPI,2.12,2000
183190,아세아시멘트,KOSPI,2.12,225
052460,아이크래프트,KOSDAQ,2.1,80
080520,오디텍,KOSDAQ,2.1,100
024910,경창산업,KOSDAQ,2.1,50
335890,비올,KOSDAQ,2.1,18
063570,한국전자금융,KOSDAQ,2.1,125
033500,동성화인텍,KOSDAQ,2.1,250
014570,고려제약,KOSDAQ,2.1,150
014280,금강공업,KOSPI,2.1,120
138490,코오롱ENP,KOSPI,2.1,160
285490,노바텍,KOSDAQ,2.1,500
032560,황금에스티,KOSPI,2.1,150
005430,한국공항,KOSPI,2.1,1000
011780,금호석유,KOSPI,2.1,2900
103590,일진전기,KOSPI,2.1,220
007070,GS리테일,KOSPI,2.1,500
004890,동일산업,KOSPI,2.1,1000
203450,유니온커뮤니티,KOSDAQ,2.1,70
181710,NHN,KOSPI,2.1,500
089150,케이씨티,KOSDAQ,2.1,60
008260,NI스틸,KOSPI,2.09,125
039830,오로라,KOSDAQ,2.07,150
137950,제이씨케미칼,KOSDAQ,2.06,150
081000,일진다이아,KOSPI,2.05,300
002920,유성기업,KOSPI,2.04,60
108320,LX세미콘,KOSPI,2.04,1800
014970,삼륭물산,KOSDAQ,2.04,75
016580,환인제약,KOSPI,2.02,300
000430,대원강업,KOSPI,2.01,110
001130,대한제분,KOSPI,2,2500
101330,모베이스,KOSDAQ,2,70
097520,엠씨넥스,KOSPI,2,600
037230,한국팩키지,KOSDAQ,2,40
189980,흥국에프엔비,KOSDAQ,2,40
177830,파버나인,KOSDAQ,2,70
366030,공구우먼,KOSDAQ,2,120
084690,대상홀딩스,KOSPI,2,270
028260,삼성물산,KOSPI,2,2550
037440,희림,KOSDAQ,2,0
038010,제일테크노스,KOSDAQ,2,180
053690,한미글로벌,KOSPI,2,400
192080,더블유게임즈,KOSPI,2,1000
408920,메쎄이상,KOSDAQ,2,50
011280,태림포장,KOSPI,2,50
079960,동양이엔피,KOSDAQ,2,400
006880,신송홀딩스,KOSPI,2,120
092780,동양피스톤,KOSPI,2,100
010420,한솔PNS,KOSPI,2,25
023810,인팩,KOSPI,2,180
047050,포스코인터내셔널,KOSPI,2,1000
037070,파세코,KOSDAQ,1.98,150
199820,제일전기공업,KOSDAQ,1.98,200
000670,영풍,KOSPI,1.94,10000
124560,태웅로직스,KOSDAQ,1.94,70
383220,F&F,KOSPI,1.93,1700
079170,한창산업,KOSDAQ,1.93,160
000210,DL,KOSPI,1.93,1000
036890,진성티이씨,KOSDAQ,1.9,200
119610,인터로조,KOSDAQ,1.9,600
078070,유비쿼스홀딩스,KOSDAQ,1.9,250
003220,대원제약,KOSPI,1.9,300
060480,국일신동,KOSDAQ,1.9,50
027360,아주IB투자,KOSDAQ,1.9,50
005930,삼성전자,KOSPI,1.9,1444
060540,에스에이티,KOSDAQ,1.9,50
080010,이상네트웍스,KOSDAQ,1.9,100
004080,신흥,KOSPI,1.9,270
053800,안랩,KOSDAQ,1.9,1300
